,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
1031,P70295,Aup1,1861.5,5038.25,1476.5,5198.0,2271.0,6427.5,1663.0,3895.5,26630.75,25995.0,16559.25,26096.5,28606.5,21185.75,Aup1 Ancient ubiquitous protein 1
1032,Q8CG76,Akr7a2,1424.25,2317.75,1226.0,2747.5,1278.5,3045.5,1411.5,4285.5,10695.5,10438.75,9490.0,11374.5,11967.0,8845.75,Akr7a2 Aflatoxin B1 aldehyde reductase member 2
1033,Q8C142,Ldlrap1,3099.5,5955.5,916.5,0.0,5362.5,10447.0,1058.0,2559.0,26468.25,28115.25,25538.25,27110.5,29172.0,25093.0,Ldlrap1 Low density lipoprotein receptor adapter protein 1
1034,Q3UGR5,Hdhd2,4805.5,14568.0,,,3174.5,9292.0,,,32866.5,40011.75,30626.5,41449.0,30337.5,36674.0,Hdhd2 Haloacid dehalogenase-like hydrolase domain-containing protein 2
1035,P70302,Stim1,1981.5,27286.5,1663.25,16383.5,826.0,17938.5,1105.25,42760.0,55361.0,31252.5,20932.0,22881.0,10066.0,6856.5,Stim1 Stromal interaction molecule 1
1036,Q9DC51,Gnai3,1791.5,5549.5,2110.25,6465.5,2438.5,5968.5,2083.75,7591.0,11913.0,10728.5,9236.0,13333.0,15059.0,9813.0,Gnai3 Guanine nucleotide-binding protein G(k) subunit alpha
1037,Q8N9S3,Ahsa2,3077.0,5170.5,1325.5,2099.25,3021.0,4402.5,2715.5,4350.75,13972.25,12087.25,8790.5,11154.0,16725.0,11566.75,Ahsa2 Activator of 90 kDa heat shock protein ATPase homolog 2
1038,Q8K2T1,Nmral1,6318.0,12023.5,4408.5,7108.25,2301.0,4382.5,1837.0,4475.5,16834.0,15453.25,15798.0,27897.5,19874.0,19418.75,Nmral1 NmrA-like family domain-containing protein 1
1039,P03903,Mtnd4l,1565.75,2855.5,1179.25,1151.0,1651.5,2186.5,2178.0,2682.0,21481.75,27840.5,26182.25,24534.5,32613.5,21220.5,Mtnd4l NADH-ubiquinone oxidoreductase chain 4L
1040,Q99JX7,Nxf1,3132.5,5400.0,4145.0,8208.5,3343.75,7811.25,3271.5,9003.75,27773.5,27472.5,23057.5,27756.0,33316.0,25163.5,Nxf1 Nuclear RNA export factor 1
1041,Q9DC70,Ndufs7,12174.5,22368.0,14678.75,26089.75,8139.5,15195.0,6646.5,17705.0,20661.5,20792.5,17917.0,10903.0,19371.0,18169.5,Ndufs7 NADH dehydrogenase
1042,Q6P542,Abcf1,3820.0,7364.0,2350.5,4582.5,3398.0,12532.5,3877.0,10177.5,17867.25,15107.0,13609.0,14807.5,16827.5,14327.75,Abcf1 ATP-binding cassette sub-family F member 1
1043,Q9JKX3,Tfr2,1932.5,11927.5,1943.0,6502.0,2481.5,23287.5,666.25,2824.0,21374.5,19300.0,16802.0,17972.0,25686.0,18467.0,Tfr2 Transferrin receptor protein 2
1044,Q9DB30,Phkg2,1630.5,3685.0,,,1776.0,4601.0,,,17810.25,16151.0,13665.25,16578.0,21907.0,14428.25,"Phkg2 Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"
1045,Q3ULF4,Spg7,3038.5,5187.25,2960.0,4606.0,560.5,2571.5,1058.0,1690.25,13985.5,14303.25,11870.25,12587.0,16201.0,14072.0,Spg7 Paraplegin
1046,Q9CYI4,Luc7l,4902.0,8342.0,2742.5,8325.0,3672.0,9535.0,4343.0,8758.5,35358.5,35160.0,25518.5,38936.0,30967.5,29431.25,Luc7l Putative RNA-binding protein Luc7-like 1
1047,Q9DBJ1,Pgam1,1824.5,4031.0,615.5,1862.0,978.0,5214.0,,,40716.5,33592.5,18349.0,26487.0,18034.5,20675.0,Pgam1 Phosphoglycerate mutase 1
1048,O35945,Aldh1a7,3215.25,11820.5,2648.5,4979.0,4433.25,22315.0,1546.25,8885.75,72031.0,52279.0,41667.5,57897.0,47404.0,47981.0,"Aldh1a7 Aldehyde dehydrogenase, cytosolic 1"
1049,Q8JZM0,Tfb1m,2818.5,4499.5,3277.0,2807.0,633.5,1453.0,,,43269.25,44725.75,38118.0,55296.5,50955.5,38442.25,"Tfb1m Dimethyladenosine transferase 1, mitochondrial"
1050,Q7M6Y3,Picalm,6645.5,11805.0,2590.0,6977.0,5313.25,9928.25,3949.25,10884.75,19713.5,24550.5,22547.5,28495.0,23863.0,23997.0,Picalm Phosphatidylinositol-binding clathrin assembly protein
1051,Q9QY36,Naa10,,,,,,,,,10409.0,10999.75,10699.75,10933.0,12346.0,10541.0,Naa10 N-alpha-acetyltransferase 10
1052,P62751,Rpl23a,9710.0,17838.5,3070.75,8947.75,15393.5,24607.5,10858.25,24476.25,15908.0,19978.0,15311.5,21771.0,17311.0,19183.5,Rpl23a 60S ribosomal protein L23a
1053,Q9CZX8,Rps19,4169.5,5070.5,4240.25,6140.0,2039.0,2965.5,1472.75,4808.5,29993.25,28996.0,25360.0,29811.5,25681.5,27856.75,Rps19 40S ribosomal protein S19
1054,P83882,Rpl36a,14926.5,21800.0,3716.5,5522.0,6404.0,23267.5,3779.5,13503.0,9651.0,9811.0,7126.5,12316.0,7506.0,13150.5,Rpl36a 60S ribosomal protein L36a
1055,Q8BG67,Efr3a,5829.25,12350.75,2755.5,6032.25,2971.5,7175.5,1791.0,3499.5,16899.25,16859.75,19394.5,20935.5,25189.0,17445.0,Efr3a Protein EFR3 homolog A
1056,Q8BWU8,Etnppl,,,,,,,,,31132.75,27542.75,38922.5,7603.5,14024.5,17351.5,Etnppl Ethanolamine-phosphate phospho-lyase
1057,Q99L43,Cds2,2045.25,13994.25,1149.25,22725.0,1987.25,16331.25,1526.0,18855.0,110026.0,85934.5,75852.5,109730.0,120155.0,77318.5,Cds2 Phosphatidate cytidylyltransferase 2
1058,Q6XPS7,Tha1,3616.0,6083.5,6182.5,4801.0,2635.25,5656.0,1892.75,2646.0,10748.5,9865.5,5804.0,6453.0,11168.0,5163.5,Tha1 Protein Tha1
1059,P19783,Cox4i1,10211.0,17230.75,4419.5,8910.25,2294.5,2993.0,1374.5,2561.0,3597.5,3416.0,2714.5,3778.0,4090.0,4606.0,"Cox4i1 Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
1060,P06683,C9,,,1587.5,3868.0,919.5,1921.0,2299.0,6714.0,102927.5,84109.5,30791.5,60712.0,38196.0,17425.0,C9 Complement component C9
