uniprot_id,description,pep_num,annotation,alb_turbo(+)_1,alb_turbo(+)_2,alb_turbo(+)_3,alb_turbo(-)_1,alb_turbo(-)_2,adip_turbo(+)_1,adip_turbo(+)_2,adip_turbo(+)_3,adip_turbo(-)_1,adip_turbo(-)_2,CD19_turbo(+)_1,CD19_turbo(+)_2,CD19_turbo(+)_3,CD19_turbo(+)_4,CD19_turbo(-)_1,CD19_turbo(-)_2
Q8R216,"Sirt4 NAD-dependent protein lipoamidase sirtuin-4, mitochondrial",1,FP,42232.0,28103.0,52055.0,38591.0,26830.0,11128.0,9944.0,6883.0,10850.0,11017.0,379.0,1446.0,1348.0,888.0,0.0,0.0
Q9WVT6,Ca14 Carbonic anhydrase 14,1,,18063.0,14781.0,16260.0,8047.0,3109.0,1233.0,828.0,803.0,732.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8BGI5,Pex26 Peroxisome assembly protein 26,1,,116072.0,109574.0,123794.0,137662.0,52991.0,6924.0,9571.0,7215.0,6774.0,8623.0,971.0,1124.0,2248.0,606.0,811.0,877.0
O08738,Casp6 Caspase-6,1,FP,21634.0,23607.0,25620.0,16793.0,20083.0,27996.0,48828.0,45763.0,18093.0,54337.0,234.0,4219.0,2792.0,3937.0,0.0,4417.0
Q3KNM2,March5 E3 ubiquitin-protein ligase MARCH5,1,TP,5523.0,7293.0,7084.0,8583.0,5018.0,11340.0,12844.0,7317.0,9661.0,14376.0,1226.0,3407.0,1618.0,1340.0,880.0,1809.0
Q8R0J2,Mpdu1 Mannose-P-dolichol utilization defect 1 protein,1,,34006.0,34052.0,40237.0,34817.0,31058.0,17237.0,53503.0,16248.0,12893.0,6662.0,4049.0,4278.0,10469.0,3431.0,1559.0,2728.0
Q62093,Srsf2 Serine/arginine-rich splicing factor 2,1,FP,13737.0,14689.0,17017.0,14770.0,14841.0,18721.0,46285.0,18403.0,25204.0,38272.0,46609.0,30545.0,49926.0,44193.0,40806.0,35532.0
G5E866,Sf3b1 Splicing factor 3B subunit 1,3,FP,164864.0,251494.0,172541.0,133464.0,69457.0,77404.0,242229.0,97233.0,98793.0,119427.0,74103.0,200938.0,174147.0,120546.0,49303.0,68929.0
Q8C3F2,Fam120c Constitutive coactivator of PPAR-gamma-like protein 2,2,,23943.0,17493.0,21505.0,13228.0,9000.0,19599.0,24425.0,14344.0,22418.0,23340.0,1841.0,2976.0,3900.0,2417.0,1130.0,1162.0
A2A432,Cul4b Cullin-4B,1,FP,47356.0,50886.0,55487.0,43953.0,28001.0,19400.0,27955.0,15191.0,27482.0,26121.0,7719.0,15978.0,17277.0,10976.0,4307.0,8277.0
Q8BFY9,Tnpo1 Transportin-1,1,FP,16524.0,20767.0,18524.0,20563.0,12227.0,9488.0,16910.0,14094.0,7906.0,10994.0,1255.0,6693.0,5998.0,3061.0,698.0,2699.0
Q60992,Vav2 Guanine nucleotide exchange factor VAV2,1,,18297.0,20377.0,20991.0,17647.0,10290.0,6440.0,11198.0,6594.0,9069.0,7096.0,2397.0,4720.0,4791.0,2684.0,1705.0,2455.0
Q9Z1X4,Ilf3 Interleukin enhancer-binding factor 3,1,FP,25858.0,21532.0,27786.0,17281.0,15087.0,41117.0,49346.0,21696.0,62170.0,39715.0,10147.0,11074.0,17255.0,14681.0,7719.0,6959.0
Q3UYI5,Rgl3 Ral guanine nucleotide dissociation stimulator-like 3,1,,39503.0,36208.0,47337.0,39525.0,17437.0,5381.0,5710.0,2718.0,3883.0,5906.0,846.0,1248.0,943.0,686.0,0.0,1271.0
E9QAS8,Fmr1 Synaptic functional regulator FMR1,2,FP,47369.0,39340.0,55671.0,41176.0,35797.0,85959.0,117237.0,102193.0,70551.0,156615.0,2797.0,13949.0,10307.0,9536.0,4418.0,10972.0
Q3TCN2,Plbd2 Putative phospholipase B-like 2,2,,84029.0,82212.0,94916.0,38089.0,36502.0,98017.0,132551.0,102186.0,18747.0,28495.0,17446.0,10581.0,26933.0,16980.0,1065.0,4649.0
