uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
P35564,Canx Calnexin,2,TP,578840.0,521737.0,683029.0,239022.0,244422.0,279785.0,252425.0,225436.0,511968.0,488206.0,113138.0,183294.0,189707.0,145871.0,121921.0,178316.0
Q9EP75,Cyp4f14 Leukotriene-B4 omega-hydroxylase 3,1,TP,25089.0,24336.0,18234.0,9776.0,5890.0,9795.0,6535.0,11099.0,22570.0,14699.0,14283.0,22622.0,8765.0,9696.0,6828.0,9207.0
P35585,Ap1m1 AP-1 complex subunit mu-1,2,,34010.0,36603.0,41282.0,30653.0,21060.0,41562.0,33487.0,32895.0,50862.0,50398.0,31311.0,38710.0,58496.0,30795.0,21091.0,30890.0
Q8BK63,Csnk1a1 Casein kinase I isoform alpha,2,FP,99631.0,96016.0,124745.0,71494.0,69978.0,90649.0,133292.0,117147.0,204636.0,173511.0,75302.0,113907.0,150682.0,116038.0,84896.0,118768.0
P52875,Tmem165 Transmembrane protein 165,1,,84592.0,76942.0,129208.0,32647.0,43830.0,68857.0,131849.0,108765.0,260459.0,240643.0,67824.0,83481.0,89321.0,82072.0,82022.0,81418.0
Q8K0R6,Gltpd2 Glycolipid transfer protein domain-containing protein 2,1,,7958.0,13711.0,12595.0,3617.0,4415.0,5360.0,7937.0,5617.0,13819.0,13243.0,4283.0,7613.0,4810.0,3817.0,2741.0,4906.0
O70579,Slc25a17 Peroxisomal membrane protein PMP34,1,,36769.0,30254.0,28627.0,29553.0,22428.0,30475.0,38415.0,29666.0,37712.0,30597.0,38918.0,47968.0,29068.0,28668.0,25572.0,39199.0
P14901,Hmox1 Heme oxygenase 1,1,TP,22552.0,20993.0,22815.0,20463.0,17329.0,26942.0,79100.0,59011.0,131950.0,93765.0,20151.0,32502.0,31766.0,23260.0,50079.0,50432.0
Q7TMY8,Huwe1 E3 ubiquitin-protein ligase HUWE1,13,FP,504011.0,410455.0,454785.0,365883.0,313857.0,449792.0,561430.0,498980.0,776063.0,691007.0,468290.0,546082.0,561698.0,472468.0,367994.0,462694.0
Q99P88,Nup155 Nuclear pore complex protein Nup155,5,FP,110288.0,120282.0,131151.0,97439.0,78984.0,114630.0,143363.0,116219.0,225088.0,193447.0,103309.0,151019.0,139265.0,109508.0,79469.0,103746.0
Q923Q2,Stard13 StAR-related lipid transfer protein 13,4,FP,71806.0,73172.0,62951.0,63096.0,39236.0,63828.0,69780.0,65112.0,114801.0,92341.0,76667.0,107105.0,73397.0,64451.0,56478.0,65044.0
Q9Z160,Cog1 Conserved oligomeric Golgi complex subunit 1,3,,30970.0,30827.0,29796.0,21761.0,23437.0,28467.0,43169.0,33016.0,61801.0,62371.0,21637.0,34924.0,33545.0,26029.0,25215.0,31277.0
O70570,Pigr Polymeric immunoglobulin receptor,3,TP,199494.0,287999.0,289645.0,97277.0,119347.0,150585.0,151130.0,134615.0,280590.0,187761.0,128930.0,186547.0,173241.0,194625.0,99129.0,168622.0
