ID #,Uniprot Accession,Entrez ID,Protein Names,Gene Names,Log2 SILAC Ratio (Mito/Negative Control) Rep1,Rep1 Unique Quantified Peptide Count,Log2 SILAC Ratio (Mito/Negative Control) Rep2,Rep2 Unique Quantified Peptide Count,GOCC annotation,MitoCarta FDR,mito,evidence for mito,matrix,IMS,OMM,False-positive,Note
5101,Q9HBH1,64146,"Peptide deformylase, mitochondrial;Polypeptide deformylase",PDF;PDF1A,1.88133923,8,1.892671611,8,mitochondrion,-,1,GOCC,0,0,0,0,-
4804,Q9BT30,84266,Alkylated DNA repair protein alkB homolog 7;Probable alpha-ketoglutarate-dependent dioxygenase ABH7;Spermatogenesis cell proliferation-related protein;Spermatogenesis-associated protein 11,ABH7;ALKBH7;SPATA11;UNQ6002/PRO34564,1.879328074,5,1.442770935,6,mitochondrion | extracellular region | nucleus | cytoplasm,0,1,GOCC; MitoCarta,0,0,0,0,-
4344,Q8WV74;Q8WV74-2,254552,"Nucleoside diphosphate-linked moiety X motif 8, mitochondrial",NUDT8,1.877882436,7,2.045476076,9,mitochondrion,0.029,1,GOCC; MitoCarta,0,0,0,0,-
2753,P45954;B4DQ51,36,"2-methyl branched chain acyl-CoA dehydrogenase;2-methylbutyryl-coenzyme A dehydrogenase;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial;cDNA FLJ57418, highly similar to Short/branched chain specific acyl-CoAdehydrogenase, mitochondrial (EC 1.3.99.-)",ACADSB,1.868450313,17,1.85306386,18,mitochondrion | mitochondrial matrix,0,1,GOCC; MitoCarta,1,0,0,0,-
4997,Q9H3H1;Q9H3H1-4;Q9H3H1-5;Q5QPK7;Q9H3H1-2,54802,"hGRO1;Isopentenyl-diphosphate:tRNA isopentenyltransferase;tRNA dimethylallyltransferase, mitochondrial;tRNA isopentenyltransferase;tRNA isopentenyltransferase 1",IPT;MOD5;TRIT1;RP1-118J21.3-003,1.853450143,10,2.031394437,5,mitochondrion | cellular_component | cytoplasm,0.029,1,GOCC; MitoCarta,0,0,0,0,-
585,Q9Y2Z9;B7Z3K8;G3XA86;Q86U30;G3V564,51004,"Ubiquinone biosynthesis monooxygenase COQ6;cDNA FLJ50973, highly similar to Ubiquinone biosynthesis monooxygenase COQ6 (EC 1.14.13.-);Coenzyme Q6 homolog, monooxygenase (Yeast), isoform CRA_c;Full-length cDNA clone CS0DM001YP16 of Fetal liver of Homo sapiens (human)",CGI-10;COQ6;hCG_21715,1.846973445,8,1.795138532,9,mitochondrion,0.029,1,GOCC; MitoCarta,0,0,0,0,-
4464,Q969Z0;C9JY22;Q969Z0-2,9238,Cell cycle progression restoration protein 2;FAST kinase domain-containing protein 4;Protein TBRG4;Transforming growth factor beta regulator 4;Putative uncharacterized protein TBRG4,CPR2;FASTKD4;KIAA0948;TBRG4,1.839990346,25,1.827403385,27,-,0,1,MitoCarta,0,0,0,0,-
2814,P49419;P49419-2;E7EPT3;F8VS02;P49419-3,501,Aldehyde dehydrogenase family 7 member A1;Alpha-aminoadipic semialdehyde dehydrogenase;Antiquitin-1;Betaine aldehyde dehydrogenase;Delta1-piperideine-6-carboxylate dehydrogenase,ALDH7A1;ATQ1,1.831533758,28,1.933119961,27,cytosol | mitochondrion | nucleus | cellular_component | cytoplasm,0.047,1,GOCC; MitoCarta,1,0,0,0,-
3472,Q15120,5165,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3, mitochondrial;Pyruvate dehydrogenase kinase isoform 3",PDK3,1.824796927,22,1.841591147,23,mitochondrion | mitochondrial matrix,0.01,1,GOCC; MitoCarta,1,0,0,0,-
3978,Q7Z4G4;Q7Z4G4-2;F2Z2Q4;Q7Z4G4-3,60487,tRNA guanosine-2-O-methyltransferase TRM11 homolog,C6orf75;MDS024;TRMT11,1.819320167,11,1.711032502,10,-,0.932,0,-,0,0,0,0,-
