uniprot,description,pep_num,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,tag_131.1445,tag_132.141535,tag_132.147855,tag_133.14489,tag_133.15121,tag_134.148245
Q99L88,Sntb1 Beta-1-syntrophin,17,16248.0,17963.0,17968.0,17782.0,11331.0,20274.0,15288.0,12450.0,23989.0,22012.0,17155.0,20961.0,23997.0,17737.0,9086.0,12319.0
Q9EQ20,Aldh6a1 Methylmalonate-semialdehyde dehydrogenase,17,52090.5,40388.0,44699.0,23470.5,29438.5,39504.5,48960.5,37286.5,47138.5,49457.0,29254.5,46959.5,51398.0,38676.0,34304.0,43383.5
Q9CQT1,Mri1 Methylthioribose-1-phosphate isomerase,10,18716.0,21750.0,20681.0,15197.0,15181.0,17524.0,21235.0,18948.0,33397.0,25351.0,22948.0,30204.0,26989.0,21686.0,11501.0,18804.0
P84096,Rhog Rho-related GTP-binding protein RhoG,9,18039.5,17975.5,23039.5,15356.5,13364.5,17260.0,28597.5,22328.0,48180.0,36381.0,16665.5,21217.0,24046.5,16430.5,15481.0,18734.5
Q91VR2,"Atp5c1 ATP synthase subunit gamma, mitochondrial",15,61961.0,81165.0,117920.0,52382.0,50597.0,69187.0,59747.0,53303.0,80588.0,80548.0,56095.0,77072.0,90011.0,69228.0,40587.0,55104.0
Q3U3J1,"Bckdha 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",15,10190.0,10896.5,15871.5,7077.0,9054.5,13461.0,10450.0,9173.0,15541.0,13592.0,10959.0,13164.5,16893.5,12361.5,6944.0,9523.5
P19001,"Krt19 Keratin, type I cytoskeletal 19",8,13096.0,16368.0,17977.0,10099.0,11872.0,14832.0,17698.0,17678.0,33860.0,26710.0,15358.0,31684.0,19849.0,18545.0,16280.0,17636.0
Q8CC86,Naprt Nicotinate phosphoribosyltransferase,21,24015.0,26361.0,26291.0,22246.5,17028.5,23383.5,25210.5,22762.0,34528.0,28213.5,25389.0,28144.5,29509.5,23751.0,16550.0,21428.0
P47962,Rpl5 60S ribosomal protein L5,11,26546.0,28600.0,62350.0,14416.0,22035.0,30159.0,45054.0,33344.0,51881.0,56746.0,20555.0,28557.0,48228.0,28940.0,24643.0,32593.0
P58252,Eef2 Elongation factor 2,33,32064.5,35123.5,29316.0,16931.5,18387.0,30265.5,33785.5,29908.5,37907.5,45217.5,22860.0,37986.0,32912.5,17820.5,21679.0,29071.0
P48758,Cbr1 Carbonyl reductase,7,64391.0,52882.0,58458.5,35758.0,39731.5,50255.5,51709.5,42223.0,71187.0,65707.5,39719.5,55701.5,52622.0,43233.5,31491.5,35142.5
Q9ERR7,Sep15 15 kDa selenoprotein,6,44093.0,51413.0,56158.0,26240.0,20288.0,33749.0,26532.0,17948.0,81051.0,67764.0,2304.0,6375.0,4300.0,2584.0,1549.0,2721.0
Q91VI7,Rnh1 Ribonuclease inhibitor,14,24019.0,25626.0,26582.0,18064.0,15796.0,28780.0,18975.0,14695.0,28680.0,18850.0,22004.0,29919.0,32073.0,20855.0,10348.0,11847.0
Q9CRB3,Urah 5-hydroxyisourate hydrolase,5,32337.0,37864.0,43642.0,17489.0,23443.0,31326.0,38390.0,24910.0,44551.0,38075.0,24231.0,30578.0,35722.0,31184.0,21596.0,21302.0
E9Q035,Gm20425 Protein Gm20425,8,50009.5,41293.5,36554.0,44923.5,26663.5,39227.0,59235.5,51642.5,86077.5,87472.5,34958.5,58218.5,46782.0,49640.0,44009.0,52253.0
