uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q8CIZ8,Vwf von Willebrand factor,45,TP,1056362.0,221833.0,223940.0,516183.0,1544110.0,482210.0,746839.0,247228.0,1590708.0,673923.0,3162729.0,2674044.0,3185974.0,4284348.0,2527690.0,3020864.0
A0A140T8M3,Igkv8-30 Protein Igkv8-30,2,,14717.0,9073.0,11377.0,15935.0,24305.0,21471.0,26192.0,44690.0,27577.0,13346.0,83926.0,23721.0,72529.0,61793.0,37363.0,38300.0
P41317,Mbl2 Mannose-binding protein C,4,TP,58779.0,51733.0,100673.0,132284.0,207091.0,38751.0,51960.0,47553.0,71778.0,53352.0,80266.0,62985.0,63831.0,119688.0,57412.0,78436.0
P98086,C1qa Complement C1q subcomponent subunit A,4,TP,229640.0,230979.0,254785.0,393336.0,328211.0,129867.0,266487.0,356636.0,272670.0,177379.0,966911.0,478181.0,609595.0,790387.0,320335.0,602533.0
Q60605,Myl6 Myosin light polypeptide 6,1,,5752.0,3157.0,6093.0,6310.0,15772.0,9901.0,7576.0,4951.0,9417.0,3087.0,14818.0,5983.0,13258.0,19710.0,4948.0,10423.0
Q3SXB8,Colec11 Collectin-11,5,TP,93033.0,60096.0,88732.0,59171.0,126112.0,48398.0,97597.0,29126.0,172499.0,57458.0,315751.0,24770.0,74907.0,186689.0,95100.0,98678.0
P52430,Pon1 Serum paraoxonase/arylesterase 1,5,TP,134829.0,63223.0,115079.0,136293.0,260901.0,105428.0,161744.0,141166.0,178364.0,104476.0,166938.0,203957.0,131243.0,244663.0,97332.0,191576.0
A0A0A6YXW6,Igha Protein Igha,4,,30716.0,22757.0,17232.0,20797.0,35709.0,14442.0,99341.0,29095.0,159164.0,37728.0,56109.0,90506.0,74434.0,99329.0,66737.0,53183.0
P62983,Rps27a Ubiquitin-40S ribosomal protein S27a,1,FP,669.0,1087.0,1763.0,1491.0,966.0,770.0,2202.0,1351.0,2261.0,0.0,2817.0,1615.0,1965.0,2039.0,2003.0,2635.0
P06683,C9 Complement component C9,8,TP,90055.0,48827.0,59291.0,86994.0,157331.0,48022.0,80532.0,56547.0,69085.0,47012.0,99482.0,233005.0,129719.0,245351.0,145502.0,170618.0
A0A0B4J1P4,Ighv5-16 Protein Ighv5-16,2,,17638.0,7070.0,10963.0,14036.0,9362.0,5868.0,15145.0,7772.0,28583.0,6067.0,33564.0,11203.0,7905.0,15548.0,20772.0,16546.0
Q06890,Clu Clusterin,9,TP,211489.0,229770.0,176630.0,455029.0,555207.0,288819.0,333335.0,222642.0,394464.0,269322.0,465114.0,385200.0,752044.0,859147.0,386832.0,520964.0
P03953,Cfd Complement factor D,3,TP,12392.0,11641.0,111472.0,609647.0,941724.0,10210.0,63110.0,128771.0,151623.0,245777.0,16153.0,30092.0,249903.0,262090.0,73488.0,286192.0
P07356,Anxa2 Annexin A2,7,TP,49079.0,57308.0,39881.0,63951.0,67346.0,42736.0,57690.0,65294.0,74843.0,63911.0,94908.0,59120.0,55668.0,82435.0,50120.0,59776.0
