,uniprot,annotation,ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio
149,E9PXF8,,,,,,,,,inf,inf,2.0,0.0,0.0,0.002785515320334262,-0.002785515320334262,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,0.6382461585162372,2.569529652351738,75.0,39.0,0.17410714285714285,0.1043115438108484,0.06979559904629445,inf,inf,4.0,1.0,0.004464285714285714,0.005571030640668524,-0.0011067449263828097
150,P62307,FP,,,,,,,,inf,inf,2.0,0.0,0.0,0.002785515320334262,-0.002785515320334262,,,,,,,,inf,inf,1.0,0.0,0.0,0.0013966480446927375,-0.0013966480446927375,,,,,,,,inf,inf,0.0,1.0,0.004464285714285714,0.0,0.004464285714285714
151,Q9JHI4,,,,,,,,,inf,inf,3.0,0.0,0.0,0.004178272980501393,-0.004178272980501393,,,,,,,,inf,inf,2.0,0.0,0.0,0.002793296089385475,-0.002793296089385475,,,,,,,,inf,inf,1.0,1.0,0.004464285714285714,0.001392757660167131,0.0030715280541185833
152,P42128,FP,,,,,,,,inf,inf,3.0,0.0,0.0,0.004178272980501393,-0.004178272980501393,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,2.0,1.0,0.004464285714285714,0.002785515320334262,0.0016787703939514522
153,Q9CTH6,FP,,,,,,,,inf,inf,4.0,0.0,0.0,0.005571030640668524,-0.005571030640668524,,,,,,,,,,,,,,,,,,,,,,inf,inf,4.0,1.0,0.004464285714285714,0.005571030640668524,-0.0011067449263828097
154,P27786,,,,,,,,,3.514168755026769,12.167615176151761,5.0,1.0,0.004464285714285714,0.006963788300835654,-0.0024995025865499404,,,,,,,,2.3471010143676008,4.742411924119241,4.0,6.0,0.026785714285714284,0.00558659217877095,0.021199122106943333,,,,,,,,2.807667745028174,11.24430894308943,6.0,3.0,0.013392857142857142,0.008356545961002786,0.005036311181854356
155,Q8QZR1,,,,,,,,,1.579665131269995,3.1831847711134613,11.0,10.0,0.044642857142857144,0.01532033426183844,0.029322522881018706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,O08705,,,,,,,,,1.5715454790667522,3.1653197645415543,11.0,11.0,0.049107142857142856,0.01532033426183844,0.03378680859530442,1.0988619585736024,2.0355859709153123,16.0,24.0,0.10714285714285714,0.022315202231520222,0.08482765491133691,1.9338472297705167,3.561209218796767,6.0,7.0,0.03125,0.008379888268156424,0.022870111731843577,0.5734222071524463,2.456629597946963,87.0,48.0,0.21428571428571427,0.12100139082058414,0.09328432346513013,1.4201480436362994,4.297815025441484,15.0,14.0,0.0625,0.020891364902506964,0.04160863509749303
157,P06728,TP,,,,,,,,1.5376499001145234,3.0918185860382392,11.0,11.0,0.049107142857142856,0.01532033426183844,0.03378680859530442,,,,,,,,1.6383953604695305,2.901734104046243,9.0,10.0,0.044642857142857144,0.012569832402234637,0.032073024740622506,0.6210680643567569,2.539115824845112,80.0,42.0,0.1875,0.11126564673157163,0.07623435326842837,1.7430033303462893,5.375722543352601,11.0,8.0,0.03571428571428571,0.01532033426183844,0.020393951452447275
158,Q61235,FP,,,,,,,,1.4539900196989823,2.9176276771004943,11.0,13.0,0.05803571428571429,0.01532033426183844,0.04271538002387585,,,,,,,,1.2947191804780618,2.28665568369028,15.0,18.0,0.08035714285714286,0.02094972067039106,0.0594074221867518,,,,,,,,,,,,,,
