,uniprot,annotation,iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio
1134,Q91V89,,,,,,,,,0.6932249583674535,4.038086802480071,211.0,177.0,0.6188811188811189,0.2476525821596244,0.3712285367214945,,,,,,,,1.3831796421172946,10.631532329495128,139.0,108.0,0.3776223776223776,0.16276346604215455,0.21485891158022305,,,,,,,,1.3896943618394266,6.929140832595217,114.0,45.0,0.15845070422535212,0.13427561837455831,0.02417508585079381
1135,E9Q7G0,FP,,,,,,,,0.6907686531051928,4.0312174817898025,211.0,177.0,0.6188811188811189,0.2476525821596244,0.3712285367214945,,,,,,,,,,,,,,,,,,,,,,0.7887947933391408,4.568678459937565,188.0,87.0,0.30633802816901406,0.22143698468786807,0.084901043481146
1136,Q8K2L8,FP,,,,,,,,0.6895249901131746,4.027743902439024,212.0,177.0,0.6188811188811189,0.24882629107981222,0.3700548278013066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,G3X9B1,,,,,,,,,0.6879975353537593,4.0234817813765185,213.0,177.0,0.6188811188811189,0.25,0.36888111888111885,,,,,,,,1.459892497205299,11.212145748987854,133.0,104.0,0.36363636363636365,0.1557377049180328,0.20789865871833085,0.9520412547771641,3.507265968232511,157.0,84.0,0.2978723404255319,0.18427230046948356,0.11360003995604834,1.667963377049693,8.40323886639676,99.0,37.0,0.13028169014084506,0.1166077738515901,0.013673916289254961
1138,Q62130,FP,,,,,,,,0.6871673053593829,4.02116704805492,213.0,177.0,0.6188811188811189,0.25,0.36888111888111885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,O35286,FP,,,,,,,,0.6863143785096555,4.018790421255026,214.0,177.0,0.6188811188811189,0.2511737089201878,0.36770740996093104,,,,,,,,,,,,,,,,,,,,,,0.5650820476082912,3.912427897220766,238.0,105.0,0.36971830985915494,0.28032979976442873,0.0893885100947262
1140,A6H611,,,,,,,,,0.680121249162865,4.001575733701005,215.0,177.0,0.6188811188811189,0.25234741784037557,0.3665337010407433,,,,,,,,,,,,,,,,,,,,,,0.6474871680028459,4.142406933228284,221.0,99.0,0.3485915492957746,0.26030624263839813,0.0882853066573765
1141,Q99KX1,FP,,,,,,,,0.675731324323281,3.9894179894179893,216.0,177.0,0.6188811188811189,0.2535211267605634,0.3653599921205555,,,,,,,,1.1159079600875401,8.833627278071722,165.0,130.0,0.45454545454545453,0.19320843091334894,0.2613370236321056,,,,,,,,1.4225534713573667,7.0887713109935335,112.0,43.0,0.15140845070422534,0.13191990577149587,0.019488544932729474
1142,Q8R326,FP,,,,,,,,0.6691126142491949,3.971157495256167,217.0,178.0,0.6223776223776224,0.2546948356807512,0.3676827866968712,1.5661114669615683,8.489234123739438,101.0,106.0,0.3706293706293706,0.11812865497076024,0.2525007156586104,1.5361203450639451,11.820493358633776,130.0,98.0,0.34265734265734266,0.1522248243559719,0.19043251830137076,1.066171921727733,3.795993458708095,133.0,74.0,0.2624113475177305,0.15610328638497653,0.10630806113275396,0.9990793320023469,5.285578747628083,158.0,72.0,0.2535211267605634,0.18610129564193167,0.0674198311186317
1143,P98083,,,,,,,,,0.6688069818683767,3.970316301703163,218.0,178.0,0.6223776223776224,0.25586854460093894,0.36650907777668346,,,,,,,,,,,,,,,,,,,,,,1.2642995283779725,6.352311435523115,131.0,55.0,0.1936619718309859,0.15429917550058891,0.03936279633039699
1144,Q8BJ56,,,,,,,,,0.6594616173362203,3.9446808510638296,218.0,179.0,0.6258741258741258,0.25586854460093894,0.3700055812731869,,,,,,,,1.278365492293167,9.886524822695035,150.0,116.0,0.40559440559440557,0.1756440281030445,0.22995037749136107,,,,,,,,0.7748791443490602,4.524822695035461,194.0,90.0,0.31690140845070425,0.22850412249705537,0.08839728595364887
1145,F8VQ05,,,,,,,,,0.6560260500984066,3.9352983465133,218.0,179.0,0.6258741258741258,0.25586854460093894,0.3700055812731869,,,,,,,,,,,,,,,,,,,,,,0.7812764983452439,4.544931703810208,193.0,88.0,0.30985915492957744,0.22732626619552415,0.08253288873405329
1146,Q9JIK5,FP,,,,,,,,0.6559193787719547,3.935007385524372,218.0,179.0,0.6258741258741258,0.25586854460093894,0.3700055812731869,,,,,,,,,,,,,,,,,,,,,,0.6682187966019322,4.202363367799114,215.0,98.0,0.34507042253521125,0.25323910482921086,0.09183131770600039
1147,E9PWG2,,,,,,,,,0.6533497576539086,3.928004881025015,219.0,180.0,0.6293706293706294,0.25704225352112675,0.3723283758495026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Q9WV55,FP,,,,,,,,0.6502201226332142,3.9194931047335073,219.0,180.0,0.6293706293706294,0.25704225352112675,0.3723283758495026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,D3YV00,,,,,,,,,0.6488160784889035,3.915680473372781,220.0,180.0,0.6293706293706294,0.25821596244131456,0.3711546669293148,,,,,,,,1.135361857580033,8.953550295857989,163.0,129.0,0.45104895104895104,0.19086651053864168,0.26018244051030937,,,,,,,,0.8139731968851902,4.649112426035503,184.0,84.0,0.29577464788732394,0.21672555948174324,0.0790490884055807
1150,Q9JIX8,FP,,,,,,,,0.6462645785366129,3.908761458111277,220.0,180.0,0.6293706293706294,0.25821596244131456,0.3711546669293148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
