uniprot_id,description,pep_num,annotation,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
Q8VE37,Rcc1 Regulator of chromosome condensation,1,FP,5813.0,4648.0,17113.0,8654.0,10480.0,8374.0,11747.0,18288.0,26498.0,17781.0
P54728,Rad23b UV excision repair protein RAD23 homolog B,1,FP,0.0,1664.0,1889.0,1467.0,5154.0,2544.0,4437.0,1471.0,2648.0,3239.0
P38585,Ttl Tubulin--tyrosine ligase,1,,2948.0,1811.0,3286.0,1801.0,4928.0,2698.0,3842.0,3202.0,4077.0,2291.0
Q5XJY4,"Parl Presenilins-associated rhomboid-like protein, mitochondrial",1,FP,12653.0,9712.0,9226.0,3583.0,30952.0,23333.0,14864.0,6318.0,9309.0,6578.0
Q80UY2,Kcmf1 E3 ubiquitin-protein ligase KCMF1,1,,6600.0,7951.0,6152.0,4034.0,11915.0,10271.0,12519.0,8560.0,15405.0,11750.0
Q9R0A0,Pex14 Peroxisomal membrane protein PEX14,1,,2257.0,2604.0,2222.0,3434.0,19594.0,11937.0,22585.0,9113.0,13401.0,9789.0
Q8CG72,Adprhl2 Poly(ADP-ribose) glycohydrolase ARH3,1,FP,3041.0,2076.0,4056.0,2792.0,3039.0,2821.0,3591.0,4650.0,4490.0,2380.0
Q9WUP4,Srd5a3 Polyprenol reductase,1,TP,4062.0,1631.0,3949.0,0.0,49723.0,29114.0,22904.0,30334.0,29189.0,12548.0
P47199,Cryz Quinone oxidoreductase,1,,18887.0,10079.0,15259.0,9261.0,26423.0,15877.0,31594.0,21458.0,29526.0,16219.0
G3X9H5,"Htt Huntington disease gene homolog, isoform CRA_a",4,FP,29143.0,24834.0,19200.0,13377.0,55197.0,41193.0,56817.0,27197.0,53319.0,39753.0
Q69ZN7,Myof Myoferlin,3,FP,6270.0,7651.0,8864.0,3421.0,15549.0,7753.0,16461.0,21184.0,42968.0,25122.0
Q9R0L6,Pcm1 Pericentriolar material 1 protein,4,,7662.0,6249.0,8118.0,5105.0,18890.0,15281.0,26593.0,29499.0,31498.0,24203.0
Q6Y7W8,Gigyf2 PERQ amino acid-rich with GYF domain-containing protein 2,2,,6246.0,5528.0,5391.0,4015.0,17111.0,9123.0,20277.0,10322.0,21818.0,11380.0
P06909,Cfh Complement factor H,2,TP,4931.0,4859.0,6250.0,6140.0,11688.0,8520.0,12873.0,22108.0,50110.0,11537.0
Q9ES52,"Inpp5d Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",1,,1462.0,0.0,2094.0,1502.0,3531.0,3032.0,3921.0,2881.0,2741.0,3361.0
A3KGB4,Tbc1d8b TBC1 domain family member 8B,1,,1654.0,1590.0,1820.0,1011.0,8440.0,3683.0,6925.0,1217.0,3054.0,1545.0
Q8BHB0,Nod1 Nucleotide-binding oligomerization domain-containing protein 1,2,,3551.0,3144.0,1449.0,1084.0,6817.0,6373.0,8779.0,3588.0,4428.0,1559.0
Q8VE19,Mios WD repeat-containing protein mio,2,,9602.0,5016.0,9030.0,3568.0,24422.0,18613.0,31317.0,20531.0,36235.0,14077.0
Q8CJG0,Ago2 Protein argonaute-2,1,FP,1235.0,0.0,1979.0,0.0,2308.0,1612.0,3271.0,3482.0,4017.0,2705.0
Q6A0A2,Larp4b La-related protein 4B,1,,0.0,1485.0,0.0,0.0,2713.0,1068.0,3071.0,0.0,2861.0,1672.0
Q9QYB5,Add3 Gamma-adducin,1,,5463.0,7008.0,12121.0,6127.0,12533.0,9218.0,12849.0,16142.0,37995.0,31967.0
Q8C1A5,Thop1 Thimet oligopeptidase,1,,3692.0,2415.0,2861.0,3399.0,19408.0,3598.0,7768.0,4941.0,5394.0,7887.0
Q14C51,"Ptcd3 Pentatricopeptide repeat domain-containing protein 3, mitochondrial",1,FP,2243.0,2044.0,1904.0,1114.0,9814.0,2892.0,5732.0,5784.0,8768.0,8023.0
Q9QXS6,Dbn1 Drebrin,1,,4297.0,3336.0,4414.0,2696.0,13415.0,10250.0,17368.0,9789.0,23126.0,12819.0
Q6X893,Slc44a1 Choline transporter-like protein 1,1,FP,7419.0,6652.0,10296.0,7986.0,30876.0,23053.0,33458.0,48915.0,62179.0,27534.0
Q99LD4,Gps1 COP9 signalosome complex subunit 1,1,FP,1142.0,0.0,0.0,1316.0,2779.0,1906.0,3713.0,1970.0,2940.0,2809.0
Q8BTV2,Cpsf7 Cleavage and polyadenylation specificity factor subunit 7,1,FP,1344.0,0.0,3344.0,1499.0,1780.0,1569.0,4544.0,3390.0,6599.0,4269.0
P59325,Eif5 Eukaryotic translation initiation factor 5,1,,4810.0,4612.0,3702.0,4878.0,22486.0,9258.0,30419.0,9508.0,15933.0,14744.0
Q9CX56,Psmd8 26S proteasome non-ATPase regulatory subunit 8,1,,5110.0,5523.0,5185.0,3575.0,12792.0,6163.0,11813.0,6535.0,8970.0,7444.0
A2AVA0,"Svep1 Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",4,TP,9041.0,7487.0,11352.0,7619.0,71335.0,56559.0,67937.0,78313.0,114344.0,27383.0
O88307,Sorl1 Sortilin-related receptor,1,TP,1553.0,1719.0,2501.0,2123.0,9831.0,5534.0,10670.0,5960.0,12148.0,4243.0
A0A0J9YUD5,Nup205 Protein Nup205,4,,17557.0,13632.0,18246.0,6738.0,39579.0,24104.0,35869.0,19857.0,37096.0,22740.0
O35954,Pitpnm1 Membrane-associated phosphatidylinositol transfer protein 1,1,TP,2160.0,1662.0,1472.0,0.0,5059.0,3679.0,5349.0,3458.0,4801.0,2172.0
Q9JL26,Fmnl1 Formin-like protein 1,1,,2482.0,1048.0,1759.0,0.0,3822.0,1260.0,3874.0,1789.0,3714.0,4499.0
Q80V86,Ints8 Integrator complex subunit 8,1,FP,1261.0,1403.0,0.0,0.0,1525.0,1601.0,1750.0,1771.0,2635.0,1904.0
Q60992,Vav2 Guanine nucleotide exchange factor VAV2,1,,5234.0,3719.0,6266.0,1659.0,12278.0,8653.0,10524.0,6884.0,10267.0,5497.0
Q6S5J6,Krit1 Krev interaction trapped protein 1,1,,1437.0,0.0,0.0,0.0,2883.0,1487.0,2375.0,1674.0,3588.0,3047.0
Q80YS6,Afap1 Actin filament-associated protein 1,1,,1878.0,1686.0,2151.0,1407.0,7182.0,3136.0,5970.0,2480.0,6204.0,3883.0
Q3TMW1,Ccdc102a Coiled-coil domain-containing protein 102A,1,,1747.0,1598.0,1433.0,2017.0,9901.0,9032.0,15305.0,4146.0,8537.0,6249.0
Q8R2Y3,Dolk Dolichol kinase,1,TP,3041.0,2215.0,2614.0,0.0,12162.0,10839.0,13858.0,14967.0,12059.0,6869.0
Q61288,Acvrl1 Serine/threonine-protein kinase receptor R3,1,,3955.0,5877.0,3577.0,2410.0,8055.0,5151.0,5018.0,4030.0,4103.0,1390.0
O55028,Bckdk,1,FP,10492.0,9558.0,11315.0,3742.0,23041.0,11150.0,14061.0,8102.0,13018.0,12131.0
Q9EPJ9,Arfgap1 ADP-ribosylation factor GTPase-activating protein 1,1,,4478.0,4380.0,5120.0,4697.0,32627.0,22655.0,44693.0,13423.0,22554.0,16229.0
Q922E4,Pcyt2 Ethanolamine-phosphate cytidylyltransferase,1,,3473.0,3137.0,7249.0,3517.0,14398.0,10318.0,17794.0,9675.0,16251.0,8938.0
G5E899,"Serpine1 Serine (Or cysteine) peptidase inhibitor, clade E, member 1, isoform CRA_b",1,,1990.0,1167.0,0.0,1269.0,7273.0,3037.0,9133.0,4993.0,4536.0,0.0
Q91YX5,Lpgat1 Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,1,TP,3512.0,4737.0,2701.0,1776.0,54144.0,17920.0,21379.0,15288.0,16924.0,8827.0
Q8K0C9,"Gmds GDP-mannose 4,6 dehydratase",1,,5413.0,5161.0,10971.0,6222.0,18612.0,12838.0,20496.0,32323.0,58143.0,14810.0
A2ALW5,Dnajc25 DnaJ homolog subfamily C member 25,1,,3487.0,3277.0,3266.0,2638.0,15232.0,7289.0,10310.0,8396.0,12369.0,8420.0
Q62419,Sh3gl1 Endophilin-A2,1,,8445.0,7451.0,10267.0,9867.0,39622.0,21745.0,57483.0,25636.0,57849.0,48024.0
Q9D5T0,Atad1 ATPase family AAA domain-containing protein 1,1,FP,5285.0,6904.0,6658.0,4970.0,15304.0,10094.0,13240.0,10802.0,18118.0,7967.0
Q9D7V9,Naaa N-acylethanolamine-hydrolyzing acid amidase,1,,11473.0,13410.0,19727.0,14050.0,46042.0,32738.0,57530.0,77665.0,114004.0,33361.0
Q8CIZ8,Vwf von Willebrand factor,3,TP,5414.0,5615.0,6468.0,3956.0,9600.0,10394.0,12925.0,17528.0,45255.0,43609.0
P83741,Wnk1 Serine/threonine-protein kinase WNK1,4,,15790.0,11966.0,13231.0,11007.0,53042.0,27494.0,56450.0,37819.0,69482.0,62204.0
Q6P4T2,Snrnp200 U5 small nuclear ribonucleoprotein 200 kDa helicase,4,FP,8029.0,8007.0,9259.0,6497.0,15216.0,12647.0,25545.0,39423.0,98346.0,34685.0
Q6P5D8,Smchd1 Structural maintenance of chromosomes flexible hinge domain-containing protein 1,2,,4792.0,4435.0,4146.0,3755.0,9088.0,7437.0,10486.0,9350.0,17839.0,12191.0
B2RY04,Dock5 Dedicator of cytokinesis protein 5,2,,5894.0,6087.0,2778.0,2102.0,15786.0,13223.0,20718.0,6481.0,12415.0,6203.0
Q6PFD9,Nup98 Nuclear pore complex protein Nup98-Nup96,4,FP,27966.0,28219.0,63331.0,36751.0,42220.0,35550.0,64798.0,103481.0,178458.0,102258.0
Q80TM9,Nisch Nischarin,3,,11831.0,6546.0,11665.0,6830.0,25119.0,16301.0,24882.0,16317.0,24362.0,15618.0
Q7TPV4,Mybbp1a Myb-binding protein 1A,1,FP,8433.0,5618.0,7729.0,4963.0,23450.0,15270.0,18505.0,12442.0,24686.0,18182.0
Q8CG48,Smc2 Structural maintenance of chromosomes protein 2,2,FP,4637.0,3401.0,1888.0,0.0,6654.0,5465.0,6316.0,4160.0,3834.0,2530.0
Q9WTZ2,Mbtps1 Membrane-bound transcription factor site-1 protease,2,TP,5852.0,6356.0,8210.0,8167.0,69318.0,48582.0,70858.0,98913.0,128899.0,42650.0
