uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q8VDD5,Myh9 Myosin-9,40,,1517136.0,594811.0,2193936.0,1009258.0,916828.0,688668.0,2161077.0,1911710.0,1535782.0,2079763.0,1750933.0,1686807.0,1928662.0,2425991.0,1233945.0,1711325.0
Q9JJN5,Cpn1 Carboxypeptidase N catalytic chain,9,TP,161410.0,412276.0,1113165.0,775102.0,715764.0,85619.0,111011.0,763067.0,712037.0,765198.0,111422.0,116383.0,867885.0,704474.0,591757.0,653408.0
P14106,C1qb Complement C1q subcomponent subunit B,4,TP,93977.0,167478.0,215707.0,167355.0,139869.0,57360.0,77515.0,117608.0,86838.0,62124.0,111578.0,39768.0,229625.0,143408.0,114522.0,160412.0
Q9DBB9,Cpn2 Carboxypeptidase N subunit 2,10,TP,128485.0,361370.0,1920563.0,1083672.0,1133778.0,76059.0,97889.0,1001114.0,862644.0,763025.0,82881.0,49693.0,1051705.0,760882.0,802037.0,789141.0
P97298,Serpinf1 Pigment epithelium-derived factor,8,TP,75849.0,184789.0,1039515.0,827738.0,819088.0,46474.0,54380.0,821648.0,486717.0,377308.0,76353.0,23756.0,1045162.0,700065.0,754006.0,857707.0
P28666,Mug2 Murinoglobulin-2,7,TP,52011.0,86232.0,1483127.0,1090321.0,1184616.0,59975.0,75566.0,1367591.0,819072.0,1334376.0,36173.0,66638.0,691874.0,1027590.0,812936.0,827938.0
Q8R121,Serpina10 Protein Z-dependent protease inhibitor,9,TP,80156.0,130383.0,1135696.0,974137.0,975929.0,57573.0,78774.0,638414.0,483513.0,558089.0,101322.0,49803.0,1670242.0,1610194.0,1492189.0,1098504.0
Q61406,Cfhr1 Complement factor H-related protein,5,,41995.0,70760.0,961131.0,579217.0,583754.0,39844.0,55973.0,490397.0,379998.0,233317.0,57058.0,22802.0,559474.0,460097.0,500482.0,595621.0
P33587,Proc Vitamin K-dependent protein C,8,TP,39056.0,76394.0,466453.0,401801.0,370669.0,33162.0,31713.0,374976.0,291394.0,282560.0,36453.0,21112.0,477323.0,526783.0,471883.0,501677.0
Q8BH61,F13a1 Coagulation factor XIII A chain,18,TP,1988318.0,3449049.0,5009634.0,1690522.0,2400601.0,1746701.0,617001.0,1630060.0,2737582.0,1330192.0,260869.0,256128.0,1057098.0,920648.0,964224.0,1067182.0
O89020,Afm Afamin,11,TP,86827.0,211527.0,1752408.0,1209077.0,1193717.0,58374.0,94308.0,629523.0,854650.0,504576.0,61805.0,40107.0,502547.0,526420.0,617196.0,677189.0
Q02257,Jup Junction plakoglobin,11,,353099.0,315259.0,465819.0,283249.0,362039.0,183986.0,190366.0,288436.0,329534.0,491343.0,170923.0,132037.0,657870.0,681043.0,231191.0,385499.0
P49182,Serpind1 Heparin cofactor 2,6,,62551.0,161500.0,679147.0,474285.0,474044.0,21539.0,40933.0,375502.0,297438.0,294960.0,41122.0,32801.0,457465.0,567541.0,485565.0,489169.0
A0A0B4J1I9,Igkv4-55 Protein Igkv4-55,1,,56467.0,56630.0,73492.0,24616.0,69736.0,10208.0,13374.0,14640.0,18462.0,15292.0,8643.0,14442.0,36194.0,27495.0,11174.0,170403.0
P16294,F9 Coagulation factor IX,10,TP,101514.0,154346.0,2641805.0,1324713.0,1625023.0,95253.0,141414.0,1735717.0,1705649.0,1400601.0,118053.0,112331.0,1423708.0,2329500.0,1693789.0,1634290.0
Q5SWU9,Acaca Acetyl-CoA carboxylase 1,35,,655717.0,1089847.0,4826505.0,3301145.0,1066847.0,758829.0,465437.0,741209.0,704230.0,507271.0,714543.0,750151.0,1021924.0,4851828.0,1119208.0,1087169.0
Q9JHH6,Cpb2 Carboxypeptidase B2,8,TP,35218.0,59902.0,1306901.0,941821.0,1205096.0,38244.0,81171.0,761932.0,601804.0,590838.0,110073.0,19123.0,2182754.0,2436126.0,2038101.0,1707775.0
A0A140T8M5,Igkv6-15 Protein Igkv6-15,2,,65614.0,163019.0,210747.0,96482.0,62010.0,36820.0,20379.0,52351.0,49959.0,24031.0,33930.0,19612.0,142416.0,64889.0,115551.0,54121.0
Q792Z1,Try10 Protein Try10,1,,130540.0,108305.0,167158.0,112719.0,137327.0,115122.0,99094.0,117357.0,139568.0,141085.0,68565.0,61547.0,229431.0,199843.0,147755.0,202596.0
P98086,C1qa Complement C1q subcomponent subunit A,4,TP,771988.0,734137.0,517970.0,377204.0,195953.0,374468.0,548913.0,238450.0,269998.0,90775.0,662508.0,308045.0,581240.0,241436.0,201844.0,328908.0
P14847,Crp C-reactive protein,5,TP,82748.0,281640.0,304642.0,227795.0,183395.0,19121.0,30218.0,171079.0,141797.0,107373.0,47843.0,45729.0,348390.0,204426.0,170508.0,167199.0
A0A140T8P6,Igkv12-46 Protein Igkv12-46,1,,61552.0,164221.0,231564.0,83209.0,88685.0,10136.0,15981.0,34229.0,21493.0,17651.0,18397.0,17516.0,54377.0,43456.0,20981.0,44144.0
A0A0A6YWR2,Ighg1 Ig gamma-1 chain C region secreted form,6,,715629.0,2009669.0,2202292.0,808493.0,540165.0,186339.0,265289.0,464488.0,510120.0,291367.0,508408.0,249730.0,1067493.0,405011.0,366565.0,524080.0
O35490,Bhmt Betaine--homocysteine S-methyltransferase 1,3,FP,2616.0,4958.0,20671.0,36421.0,15367.0,4627.0,1484.0,12409.0,8292.0,12830.0,1055.0,5925.0,20953.0,144420.0,12038.0,15000.0
P07356,Anxa2 Annexin A2,7,TP,143291.0,115889.0,202651.0,128523.0,140852.0,82806.0,88407.0,129381.0,135582.0,177319.0,58160.0,63166.0,228126.0,214815.0,116605.0,149108.0
P01592,Jchain Immunoglobulin J chain,3,TP,177351.0,407586.0,834244.0,202019.0,121326.0,53852.0,51734.0,114974.0,71583.0,69845.0,77740.0,93417.0,320235.0,132181.0,78810.0,135229.0
P31532,Saa4 Serum amyloid A-4 protein,2,TP,8582.0,16440.0,68619.0,114310.0,116278.0,4449.0,11862.0,51560.0,42297.0,53861.0,17511.0,15567.0,160877.0,105101.0,177502.0,122861.0
Q61805,Lbp Lipopolysaccharide-binding protein,7,TP,47635.0,64163.0,468755.0,331374.0,336319.0,48455.0,47246.0,589741.0,417144.0,376536.0,101836.0,16049.0,1435263.0,778571.0,496235.0,463254.0
Q6GQT1,A2m Alpha-2-macroglobulin-P,24,TP,206541.0,275000.0,415891.0,306047.0,355299.0,113788.0,150050.0,276141.0,229880.0,322949.0,364612.0,347765.0,5148136.0,4408080.0,1871663.0,2125173.0
