uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
Q9DB77,"Uqcrc2 Cytochrome b-c1 complex subunit 2, mitochondrial",14,FP,2664406.0212155124,1629061.0,2461617.5023119114,1654416.0,1344929.1011157983,1610100.5828383951,2271208.30067764,2774671.2487357142,1813488.621536123,1352292.4885729563,1628407.0,1719766.0,3360842.0,1613099.0,1178094.0,1565695.0
P09411,Pgk1 Phosphoglycerate kinase 1,7,,972132.4160085234,468553.0,753209.4128264954,349349.0,337199.6667328492,316351.0074586883,687622.1000652626,1182663.7942524466,581277.1287984821,646182.6851304249,414521.0,495149.0,832645.0,563764.0,439017.0,688798.0
P55302,Lrpap1 Alpha-2-macroglobulin receptor-associated protein,13,TP,4973503.529840794,5132369.0,4777346.2985749915,1557391.0,1808001.530126166,1637976.5894193782,1637043.9205299483,1400280.251590842,3296605.0158802257,3163120.853031366,140149.0,300906.0,241382.0,197986.0,126947.0,138474.0
Q71KU9,Fgl1 Fibrinogen-like protein 1,7,TP,203296.14070024778,144268.0,209827.28469405623,126615.0,201485.4639527889,134257.53671131446,1580811.8361861433,1248402.8810113634,1229295.6847832897,1172485.4949957205,103981.0,190752.0,202750.0,272981.0,610077.0,598971.0
E9Q6D8,C6 Protein C6,25,TP,6585868.652918653,6342219.0,6876133.6483338615,1522071.0,1796237.2322928912,1575015.9358372213,2630346.1846738006,2633325.302716036,3461295.218404716,2582168.478845111,613564.0,835577.0,422979.0,350452.0,321768.0,339194.0
Q8CGC7,Eprs Bifunctional glutamate/proline--tRNA ligase,40,,3660669.6350388452,2884455.0,3766992.1297699446,1874386.0,2166964.8071198007,2132739.1865346297,4716069.736561467,4949331.089175922,3638796.332654986,3645326.0017278823,2476050.0,3575892.0,4285483.0,2851273.0,2216815.0,3015591.0
P97742,"Cpt1a Carnitine O-palmitoyltransferase 1, liver isoform",21,FP,4024956.475093046,3689898.0,4332827.713909805,2848136.0,2926250.398141122,2695916.7409601784,4389331.800689702,4714551.80483743,3907328.822093917,3795103.737131716,2215134.0,3234015.0,3906297.0,3123640.0,1942636.0,2365467.0
P34884,Mif Macrophage migration inhibitory factor,1,TP,58574.852074179216,44579.0,49235.25338267936,26463.0,35135.02157485639,33815.848378532944,51320.42191519402,54861.334775555675,28847.85547471238,32799.032599907754,36933.0,51433.0,43662.0,30409.0,21143.0,38966.0
Q8VCC1,Hpgd 15-hydroxyprostaglandin dehydrogenase,8,,2145598.9451950477,2888463.0,3030889.688769836,1185751.0,1445582.107321887,945366.2719922946,1560109.1723995854,1385084.4961147131,1566339.966647326,1374947.4326527615,2094739.0,2744979.0,1855121.0,1757733.0,931525.0,779597.0
P63242,Eif5a Eukaryotic translation initiation factor 5A-1,3,TP,265959.1717941659,180816.0,253503.73507432666,126934.0,123623.9391736486,142597.93993799476,341833.35113435227,334105.30699709925,284705.1562179633,252423.63672793165,157480.0,229356.0,284603.0,151551.0,170229.0,176079.0
P33267,Cyp2f2 Cytochrome P450 2F2,14,TP,1398863.455189649,994908.0,1309808.6344718572,615954.0,620323.0882023377,658280.4108346627,1042260.6193183982,859663.1434127655,640136.9257368436,582524.3433574452,887076.0,1326359.0,1087371.0,870868.0,637862.0,716933.0
P62071,Rras2 Ras-related protein R-Ras2,4,,140256.37048133544,108709.0,133843.8099357776,75950.0,101801.26891215544,89162.31899828432,173069.26848369575,174209.51823666127,128396.22366763014,122458.96229981926,99667.0,130762.0,150966.0,108723.0,84957.0,101927.0
Q9CQX2,Cyb5b Cytochrome b5 type B,3,FP,200466.24549072047,128353.0,202127.5179486694,75433.0,110672.7624799978,72824.44989194233,184787.8327020795,214265.7821666072,142122.89298111972,148298.7063059659,102013.0,169975.0,142715.0,140492.0,81411.0,138293.0
Q8C0C7,Farsa Phenylalanine--tRNA ligase alpha subunit,15,,3231806.2275429834,2710851.0,5050950.207092387,1838753.0,2380529.1769865574,2276932.167723565,5631953.135292526,4943409.402046962,4191558.94770653,4019064.4764047363,2340887.0,3348109.0,4687497.0,3508952.0,2557427.0,3569766.0
Q64737,Gart Trifunctional purine biosynthetic protein adenosine-3,21,,2026763.2402100817,1664298.0,1933662.558493495,946257.0,1022646.6276386196,923565.056185173,2037632.3518453855,2162077.748081787,1691938.9535792088,1631791.3313161964,1388481.0,1817739.0,1741321.0,1275710.0,958252.0,1210911.0
Q9DC69,Ndufa9 NADH dehydrogenase,11,FP,1003264.9934036704,879370.0,1015412.2944007723,701587.0,560304.4982523875,513598.41350991785,814902.3855832886,956965.7950154971,714110.4515270817,616370.5541972845,748120.0,909285.0,1061102.0,852376.0,449920.0,538869.0
Q91VA6,Poldip2 Polymerase delta-interacting protein 2,8,FP,630023.4497910269,576615.0,743665.9286880551,302210.0,457017.6431685846,371194.549677031,696977.2675504643,636701.642635871,573087.5116745216,516907.0491769423,410958.0,599709.0,669134.0,530389.0,332381.0,359697.0
