uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
E9Q634,Myo1e Unconventional myosin-Ie,2,,117193.04068839781,115052.0,115922.0016454537,65404.0,70332.0,165366.46949751623,206107.00203829346,186968.57583474633,143073.12168253283,145865.0,251226.0,112556.0,113532.43903129632,107449.96162907658,108161.0,47147.0
E9PV14,Epb41l1 Band 4.1-like protein 1,3,,44971.573504238324,54299.0,50735.34245649497,17492.0,20715.0,26672.07312561645,32459.236524218355,24900.54252804226,35336.16244771383,27877.0,21163.0,33726.0,34382.895674478255,39626.03335667494,23324.0,13061.0
P70699,Gaa Lysosomal alpha-glucosidase,3,,85136.1201984422,110607.0,92621.8456937119,21692.0,18120.0,66000.71290280997,73795.0105630406,69915.67128603105,74711.90647987885,21775.0,36749.0,89402.0,73532.61610286646,90844.68867327285,28883.0,13434.0
Q02248,Ctnnb1 Catenin beta-1,2,FP,15759.45534929555,24035.0,17237.179231279413,7311.0,10567.0,12078.825286377687,11659.247960813316,8346.457264901526,9039.087804702149,12447.0,13942.0,14022.0,19446.094688452504,13533.023319781763,12141.0,4472.0
Q64324,Stxbp2 Syntaxin-binding protein 2,2,,18642.946028855953,19848.0,18809.50015475476,11112.0,9897.0,14027.022913212797,15171.662173846247,11937.229274814139,10090.752073416992,15451.0,17676.0,13051.0,18307.20736854378,13269.597607400801,13514.0,3361.0
Q91WQ3,"Yars Tyrosine--tRNA ligase, cytoplasmic",2,,29883.119130689534,25093.0,23453.918529513947,30617.0,13492.0,45505.28998719882,43069.67828726183,53073.48919883918,37853.230654117986,28614.0,54712.0,35769.0,29117.26077716151,24148.827446713112,24405.0,24313.0
Q6DVA0,Lemd2 LEM domain-containing protein 2,2,FP,184515.5962442224,223399.0,212503.82511132868,21275.0,40817.0,134833.51013901422,127658.1284232076,171662.9101424938,153848.57949300448,32675.0,50211.0,243122.0,207828.80869767984,201654.273442787,38471.0,21949.0
Q8C5P5,Nt5dc1 5'-nucleotidase domain-containing protein 1,1,,41528.31083950539,25903.0,28781.200454789505,37215.0,14162.0,33271.95247524456,34185.13461847648,40819.97971501239,26692.587894850716,24202.0,47866.0,16881.0,13532.881710221689,8250.014355931036,15516.0,9006.0
Q8BIW1,Prune Protein prune homolog,1,FP,12606.355268669327,12481.0,11344.524135426207,4340.0,4270.0,9514.498163765167,7983.279455216495,8583.406464392854,8754.755697389299,6102.0,10810.0,8684.0,10920.066673329002,9138.603481426626,5557.0,3617.0
O35657,Neu1 Sialidase-1,2,,53739.31958732933,48686.0,43887.78232637463,34398.0,25064.0,40887.1978786616,38303.729076676274,49674.78173829399,33637.4603706909,29284.0,38191.0,37849.0,49118.42239211179,26642.54884358265,27980.0,12553.0
Q9CZ44,Nsfl1c NSFL1 cofactor p47,1,FP,53484.218315468854,72052.0,55025.712639358244,19862.0,19828.0,31517.61490782851,46554.6428288155,37480.77051160819,53588.09656714265,22341.0,31302.0,41085.0,43340.225693299355,43377.64404041625,32028.0,14419.0
Q9CYN9,Atp6ap2 Renin receptor,1,TP,5317.229353755414,6524.0,4535.6017812588825,2862.0,3080.0,4924.237449897021,5115.932521946043,5129.376062997261,5024.415657002741,4096.0,7419.0,7748.0,7890.951441562984,7218.368683281192,4777.0,1999.0
Q3ULJ0,Gpd1l Glycerol-3-phosphate dehydrogenase 1-like protein,2,,50774.82518637247,44318.0,50777.1343366074,34540.0,23150.0,33330.49437437606,34237.74648881172,33364.95247815313,35063.98128515794,27666.0,50503.0,37775.0,44575.37461983044,40438.99787574537,34079.0,14328.0
