,User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC,found,contaminant,Key
11005,P49961,ENTPD1, / 716,0.0,,,False,P49961
11006,Q9Y6W6,DUSP10, / 716,0.0,,,False,Q9Y6W6
11007,Q99439,CNN2,164 / 716,2.6,13.0,164,False,Q99439
11008,Q6P9F5,TRIM40, / 716,0.0,,,False,Q6P9F5
11009,Q9NV29,TMEM100, / 716,0.0,,,False,Q9NV29
11010,Q9HC97,GPR35, / 716,0.0,,,False,Q9HC97
11011,Q6NY19,KANK3, / 716,0.0,,,False,Q6NY19
11012,Q6PF04,ZNF613, / 716,0.0,,,False,Q6PF04
11013,Q1W6H9,FAM110C, / 716,0.0,,,False,Q1W6H9
11014,Q96AC6,KIFC2, / 716,0.0,,,False,Q96AC6
11015,Q8NBV4,PLPP7, / 716,0.0,,,False,Q8NBV4
11016,Q8TE82,SH3TC1,1 / 716,1.0,1.0,1,False,Q8TE82
11017,Q13277,STX3, / 716,0.0,,,False,Q13277
11018,Q13137,CALCOCO2,2 / 716,1.0,1.0,2,False,Q13137
11019,P46779,RPL28,316 / 716,6.4,64.0,316,True,P46779
11020,P13995,MTHFD2,66 / 716,1.3,3.0,66,False,P13995
11021,O95069,KCNK2, / 716,0.0,,,False,O95069
11022,Q03519,TAP2,1 / 716,1.0,1.0,1,False,Q03519
11023,Q9NRQ5,SMCO4, / 716,0.0,,,False,Q9NRQ5
11024,Q96RQ9,IL4I1, / 716,0.0,,,False,Q96RQ9
11025,Q9NX18,SDHAF2, / 716,0.0,,,False,Q9NX18
11026,Q2KHT4,GSG1, / 716,0.0,,,False,Q2KHT4
11027,P20810,CAST,101 / 716,3.9,63.0,101,False,P20810
11028,Q8TAD2,IL17D, / 716,0.0,,,False,Q8TAD2
11029,P32245,MC4R, / 716,0.0,,,False,P32245
11030,Q76LX8,ADAMTS13, / 716,0.0,,,False,Q76LX8
11031,Q01813,PFKP,201 / 716,4.7,26.0,201,True,Q01813
11032,Q96LD8,SENP8, / 716,0.0,,,False,Q96LD8
11033,Q9UMD9,COL17A1,1 / 716,1.0,1.0,1,False,Q9UMD9
11034,Q96DC9,OTUB2, / 716,0.0,,,False,Q96DC9
11035,Q9UHV9,PFDN2,143 / 716,2.2,8.0,143,False,Q9UHV9
11036,Q86UP3,ZFHX4,6 / 716,1.2,2.0,6,False,Q86UP3
11037,Q68CZ2,TNS3,20 / 716,3.5,17.0,20,False,Q68CZ2
11038,Q32P41,TRMT5,20 / 716,1.2,2.0,20,False,Q32P41
11039,Q0VDI3,TMEM267, / 716,0.0,,,False,Q0VDI3
11040,O43313,ATMIN, / 716,0.0,,,False,O43313
11041,O00341,SLC1A7, / 716,0.0,,,False,O00341
11042,P0DI80,SMIM6, / 716,0.0,,,False,P0DI80
11043,O15173,PGRMC2,112 / 716,3.3,11.0,112,False,O15173
11044,P21283,ATP6V1C1,7 / 716,1.1,2.0,7,False,P21283
11045,Q56NI9,ESCO2,4 / 716,1.0,1.0,4,False,Q56NI9
11046,Q9P1U0,ZNRD1,5 / 716,1.2,2.0,5,False,Q9P1U0
11047,Q2TAC2,CCDC57, / 716,0.0,,,False,Q2TAC2
11048,Q7Z6M3,MILR1, / 716,0.0,,,False,Q7Z6M3
11049,Q86Y13,DZIP3,1 / 716,2.0,2.0,1,False,Q86Y13
11050,Q14242,SELPLG, / 716,0.0,,,False,Q14242
11051,A7KAX9,ARHGAP32,4 / 716,1.5,2.0,4,False,A7KAX9
11052,Q15061,WDR43,116 / 716,5.2,35.0,116,False,Q15061
11053,Q8TED1,GPX8,10 / 716,2.0,6.0,10,False,Q8TED1
11054,O00487,PSMD14,168 / 716,3.1,16.0,168,False,O00487
11055,Q8IZR5,CMTM4, / 716,0.0,,,False,Q8IZR5
11056,Q9BQ50,TREX2, / 716,0.0,,,False,Q9BQ50
11057,Q9Y462,ZNF711,22 / 716,1.5,6.0,22,False,Q9Y462
11058,P55201,BRPF1,14 / 716,1.3,3.0,14,False,P55201
11059,A6NMB9,FIGNL2, / 716,0.0,,,False,A6NMB9
11060,A8MYP8,ODF3B,1 / 716,1.0,1.0,1,False,A8MYP8
11061,Q8NEJ0,DUSP18,1 / 716,1.0,1.0,1,False,Q8NEJ0
11062,Q9NQ66,PLCB1, / 716,0.0,,,False,Q9NQ66
11063,Q9UQP3,TNN, / 716,0.0,,,False,Q9UQP3
11064,O94805,ACTL6B,59 / 716,1.5,4.0,59,False,O94805
11065,P0DMW4,SMIM10L2A, / 716,0.0,,,False,"P0DMW4, P0DMW5"
11066,P19086,GNAZ,12 / 716,1.5,6.0,12,False,P19086
11067,A6NK97,SLC22A20, / 716,0.0,,,False,A6NK97
11068,P11137,MAP2,2 / 716,11.0,14.0,2,False,P11137
11069,O95470,SGPL1,15 / 716,1.2,2.0,15,False,O95470
11070,Q13972,RASGRF1, / 716,0.0,,,False,Q13972
11071,Q86Y37,CACUL1,9 / 716,4.2,10.0,9,False,Q86Y37
11072,Q9H213,MAGEH1,1 / 716,1.0,1.0,1,False,Q9H213
11073,P18089,ADRA2B, / 716,0.0,,,False,P18089
11074,Q14872,MTF1, / 716,0.0,,,False,Q14872
11075,Q9H1J1,UPF3A, / 716,0.0,,,False,Q9H1J1
11076,Q92523,CPT1B, / 716,0.0,,,False,Q92523
11077,Q8WYN3,CSRNP3, / 716,0.0,,,False,Q8WYN3
11078,Q6IAN0,DHRS7B,26 / 716,1.7,4.0,26,False,Q6IAN0
11079,O43196,MSH5, / 716,0.0,,,False,O43196
11080,Q6ZN44,UNC5A, / 716,0.0,,,False,Q6ZN44
11081,Q96DT6,ATG4C,23 / 716,1.2,2.0,23,False,Q96DT6
11082,Q8N157,AHI1, / 716,0.0,,,False,Q8N157
11083,Q8IZU8,DSEL, / 716,0.0,,,False,Q8IZU8
11084,Q2TAP0,GOLGA7B, / 716,0.0,,,False,Q2TAP0
11085,O14654,IRS4,378 / 716,11.7,99.0,378,True,O14654
11086,P30260,CDC27,77 / 716,2.1,8.0,77,False,P30260
11087,O60896,RAMP3, / 716,0.0,,,False,O60896
11088,Q16539,MAPK14,5 / 716,1.0,1.0,5,False,Q16539
11089,Q75VX8,GAREM2,1 / 716,1.0,1.0,1,False,Q75VX8
11090,Q9GZN0,GPR88, / 716,0.0,,,False,Q9GZN0
11091,Q9H427,KCNK15, / 716,0.0,,,False,Q9H427
11092,O94875,SORBS2,8 / 716,1.1,2.0,8,False,O94875
11093,P29275,ADORA2B, / 716,0.0,,,False,P29275
11094,Q8TEA7,TBCK, / 716,0.0,,,False,Q8TEA7
11095,P69849,NOMO3,46 / 716,3.4,12.0,46,False,"Q15155, P69849, Q5JPE7"
11096,Q9HCJ3,RAVER2,2 / 716,1.5,2.0,2,False,Q9HCJ3
11097,Q15050,RRS1,93 / 716,6.6,35.0,93,False,Q15050
11098,Q14532,KRT32,353 / 716,3.1,62.0,353,True,Q14532
11099,Q96E35,ZMYND19, / 716,0.0,,,False,Q96E35
11100,Q07507,DPT, / 716,0.0,,,False,Q07507
11101,O00232,PSMD12,221 / 716,3.6,15.0,221,True,O00232
11102,Q7Z570,ZNF804A, / 716,0.0,,,False,Q7Z570
11103,Q9Y6B2,EID1, / 716,0.0,,,False,Q9Y6B2
11104,A8MUH7,PDZK1P1,2 / 716,15.5,28.0,2,False,"Q5T2W1, A8MUH7"
11105,Q96EX2,RNFT2,1 / 716,1.0,1.0,1,False,Q96EX2
11106,O95067,CCNB2,1 / 716,1.0,1.0,1,False,O95067
11107,P56817,BACE1, / 716,0.0,,,False,P56817
11108,Q5BJF2,TMEM97,36 / 716,1.1,2.0,36,False,Q5BJF2
11109,Q6P0N0,MIS18BP1,14 / 716,2.4,6.0,14,False,Q6P0N0
11110,Q8TDS7,MRGPRD, / 716,0.0,,,False,Q8TDS7
11111,O15211,RGL2, / 716,0.0,,,False,O15211
11112,Q9Y2R0,COA3,25 / 716,1.9,4.0,25,False,Q9Y2R0
11113,Q9UMS5,PHTF1, / 716,0.0,,,False,Q9UMS5
11114,P61218,POLR2F,10 / 716,1.0,1.0,10,False,P61218
11115,Q969X5,ERGIC1,3 / 716,1.0,1.0,3,False,Q969X5
11116,Q96A56,TP53INP1, / 716,0.0,,,False,Q96A56
